verdict,city,surviving_row,renamed_from,course_it_sits_in,reason
MISFILE - the correctly filed row survives,hyderabad,tandoori_achari_aloo,,veg_dry,"the `starter` row is a bare stub with no sub_category. The ontology's own tandoori-aloo sibling `tandoori_aloo_gobi_dry` is a `veg_dry` under this same `aloo_root_veg_dry`, and a row meant as a starter would carry `grilled_/_tandoor_starter`, which is what `tandoori_pineapple` has."
MISFILE - the correctly filed row survives,hyderabad,veg_kolhapuri,,veg_gravy,veg kolhapuri is a spicy gravy; the `veg_dry` row is a bare stub carrying only the course mirror.
TWO DISHES - the form is named,hyderabad,aloo_matar_dry,aloo_matar (veg_dry),veg_dry,"three rows: two coherent gravies (`aloo_curry` + `is_aloo_gravy`) and one coherent dry (`aloo_root_veg_dry` + `is_veg_dry`). The gravies fold and the dry is named, rather than the other way round, because aloo matar is a gravy on most menus and the ontology already spells the exception out — `aloo_methi_dry` sits beside `aloo_methi`."
MISFILE - the correctly filed row survives,ncr,aloo_gobi_masala,,veg_gravy,the other row is filed `north_simple_veg_pulao` with `is_pulao`. A pulao is a rice dish and this one is not.
MISFILE - the correctly filed row survives,ncr,onion_laccha,,salad,"laccha pyaz is sliced raw onion served alongside the meal. The `veg_gravy` filing put it in the cell that holds the day's gravy, and its `key_ingredient: laccha` is the mapping pipeline copying the name's first word rather than an ingredient."
MISFILE - the correctly filed row survives,ncr,aloo_tariwala,tariwala_aloo,veg_gravy,"*tariwala* means ""with gravy"", so the `veg_dry` filing contradicts the dish's own name. Renamed to the dish-first word order the dropped row used."
TWO DISHES - the form is named,ncr,adraki_gobi_gravy,adraki_gobi (veg_gravy),veg_gravy,"`mixed_veg_curry` against the other row's `mixed_veg_dry`. Both are coherent, so both are real."
TWO DISHES - the form is named,ncr,achari_aloo_gravy,aloo_achari (veg_gravy),veg_gravy,"achari aloo is made as a dry sabzi and as a creamy onion-tomato curry, and both rows are filed for their own form — `aloo_root_veg_dry` against `aloo_curry` + `is_aloo_gravy`."
TWO DISHES - the form is named,ncr,aloo_beans_gravy,beans_aloo (veg_gravy),veg_gravy,aloo beans is a Punjabi dry stir-fry and also a light onion-tomato curry; `mixed_veg_curry` against `aloo_root_veg_dry`.
TWO DISHES - the form is named,ncr,aloo_methi_gravy,methi_aloo (veg_gravy),veg_gravy,"aloo methi is classically dry, which the other row is filed as (`aloo_root_veg_dry` + `is_leafy_based_dish`); this one is a coherent `mixed_veg_curry`."
